Company,City,State,FoundName01,Country of Birth,FoundName02,Country of Birth,FoundName03,Country of Birth,Product/Service,"Number of
Employees","Latest Company Valuation (USD, billions)",ImmiOrNot,
Medallia,Palo Alto,CA,Borge Hald,Norway,,,,,Software to help companies better serve customers,850,1.3,1,
ForeScout,,,Oded Comay,US,Hezy Yeshurun,,Doron Shikmoni,,Michael DeCesare,823,1.15,0,
SailPoint,,,,US,,,,,,806,2.3,0,
Houzz,Palo Alto,CA,Adi Tatarko,Israel,Alon Cohen,Israel,,,Platform for home remodeling and design,800,2.3,1,
Domo,,,Josh James,US,,,,,,796,0.43,0,
SimpliVity,Westborough,MA,Doron kempel,Israel,,,,,Data protection and storage,750,1,1,
ZocDoc,New York,NY,Oliver Kharraz,Germany,,,,,Online scheduling service for medical care,600,1.8,1,
MuleSoft,San Francisco,CA,Ross Mason,UK,,,,,Integration platform for connecting applications in the cloud and on-premise,600,1.5,1,
Zscaler,San Jose,CA,Jay Caudhry,India,,,,,Computer and network security,600,1,1,
CarGurus,,,,US,,,,,,549,4.5,0,
The Honest Company,Santa Monica,CA,Brian Lee,South Korea,,,,,"Maker of eco-friendly baby, body, and cleaning products",517,1.7,1,
Jasper,Santa Clara,CA,Jahangir Mohammed,India,,,,,Cloud-based platform for the Internet,425,1.4,1,
Oscar Health Insurance,New York,NY,Mario Schlosser,Germany,,,,,Health insurance,415,1.7,1,
Credit Karma,San Francisco,CA,Kenneth Lin,China,,,,,Consumer finance and credit,400,3.5,1,
AppDirect,San Francisco,CA,Daniel Saks,Canada,Nicolas Desmarais,Canada,,,Commerce platform for selling cloud services.,400,1.9,1,
Evernote,Redwood City,CA,Stepan Pachikov,Azerbaijan,,,,,Apps and software for organizing information across platforms,400,1,1,
Jawbone,San Francisco,CA,Alexander Asseily,UK,,,,,"Maker of wearable, consumer technology products",395,3.3,1,
upwork,,,,US,,,,,,395,2,0,
Stripe,San Francisco,CA,John Collison,Ireland,Patrick Collison,Ireland,,,Digital payments company,380,5,1,
Infinidat,Needham,MA,Moshe Yanai,Israel,,,,,Data protection and storage,350,1.2,1,
Actifio,Waltham,MA,Ash Ashutosh,India,,,,,"Data management for global
enterprise customers and
service providers.",350,1.1,1,
Guardant Health,,,,US,,,,,,348,3,0,
Moderna Therapeutics,Cambridge,MA,Noubar Afeyan,Armenia,Derrick Rossi,Canada,,,Developer of drugs made of Messenger RNA,326,3,1,
Sprinklr,New York,CA,Ragy Thomas,India,,,,,Social media software platform,325,1.2,1,
Gusto,San Francisco,CA,Tomer London,Israel,,,,,"Automation of human resources functions, including payroll",300,1.1,1,
Proteus Digital Health,Redwood City,CA,Andrew Thompson,UK,,,,,Products and services for managing patient health,300,1.1,1,
Tango,Mountain View,CA,Uri Raz,Israel,Eric Setton,France,,,Mobile messaging service,260,1,1,
Mode Media,Brisbane,CA,Samir Arora,India,Raj Narayan,India,Fernando Ruarte,Argentina,Web pusblisher offering advertisers targeted audiences,240,1,1,
CloudFlare,San Francisco,CA,Michelle Zatlyn,Canada,,,,,Global website network,225,1,1,
Udacity,Palo Alto,CA,Sebastian Thrun,Germany,,,,,Online education company,170,1,1,
FanDuel,New York,NY,Nigel Eccles,UK,Tom Griffiths,UK,Lesley Eccles,UK,Fantasy sports,159,1.3,1,
Gritstone Oncology,,,,US,,,,,,100,0.68,0,
Denali Therapeutics,,,,US,,,,,,83,1.4,0,
Allogene,,,,,,,,,,78,3.9,,
Arvinas,,,,US,,,,,,72,0.6,0,
Tricida,,,,US,,,,,,61,1.14,0,
Principia Biopharma,,,,US,,,,,,53,0.57,0,
Kodiak Sciences,,,,US,,,,,,28,0.34,0,
Pinterest,,,Ben Silbermann,US,Paul Sciarra,,Evan Sharp,,,,11,0,
Theranos,,,Elizabeth Holmes,US,,,,,,,9,0,
Stemcentrx,,,Brian Slingerland,US,Scott J Dylla,,,,,,5,0,
SoFi (Social Finance),,,Daniel Macklin,US,James Finnigan,,Ian Brady,,Michael Cagney,,4,0,
Fanatics,,,Alan S Trager,US,Mitchell Trager,,,,,,3,0,
Mozido,,,Michael A Liberty,US,,,,,,,2.4,0,
DraftKings,,,Matt Kalish,US,Jason Robins,,Paul Liberman,,,,2.1,0,
Prosper Marketplace,,,Chris Larsen,US,John Witchel,,,,,,1.9,0,
Intarcia Therapeutics,,,David Franklin,US,James M. Ahlers,,Thomas Alessi,,,,1.8,0,
BuzzFeed,,,Jonah Peretti,US,,,,,,,1.5,0,
InsideSales.com,,,Dave Elkington,US,,,,,,,1.5,0,
Deem,,,Patrick Grady,US,,,,,,,1.4,0,
Jet.com,,,Marc Lore,US,Mike Hanrahan,,Nate Faust,,,,1.4,0,
Thumbtack,,,Jeremy Tunnell,US,Marco Zappacosta,,Jonathan Swanson,,Sander Daniels,,1.3,0,
Automattic,,,Matt Mullenweg,US,,,,,,,1.2,0,
Okta,,,Frederic Kerrest,US,,,,,,,1.2,0,
Warby Parker,,,Andrew Hunt,US,Jeffrey Raider,,David Gilboa,,Neil Blumenthal,,1.2,0,
Nextdoor,,,Adam Ginsburg,US,Madison Bell,,Prakash Janakiraman,,David Wiesen,,1.1,0,Sarah Leary
Uptake,,,Brad Keywell,US,,,,,,,1.1,0,
Adaptive Biotechnologies,,,Chad Robins,US,Harlan Robins,,,,,,1,0,
Age of Learning,,,Doug Dohring,US,,,,,,,1,0,
Coupa Software,,,Dave Stephens,US,Noah Eisner,,,,,,1,0,
Datto,,,Austin McChord,US,,,,,,,1,0,
Docker,,,Solomon Hykes,US,,,,,,,1,0,
JustFab,,,Adam Goldenberg,US,Don Ressler,,,,,,1,0,
Kabam,,,Holly Liu,US,Kevin Chou,,Mike Li,,Wayne Chan,,1,0,
Kabbage,,,Kathryn Petralia,US,Rob Frohwein,,Marc Gorlin,,,,1,0,
Lookout,,,James Burgess,US,kevin Mahaffey,,John Hering,,,,1,0,
MarkLogic,,,Christopher Linblad,US,Paul Pedersen,,Frank R. Caufield,,,,1,0,
Pluralsight,,,Aaron Skonnard,US,Keith Sparkjoy,,Fritz Onion,,,,1,0,
Qualtrics,,,Jared Smith,US,Stuart Orgill,,Ryan Smith,,,,1,0,
Twilio,,,Evan Cooke,US,John Wolthuis,,Jeff Lawson,,,,1,0,
Vox Media,,,Jerome Armstrong,US,Markos Moulitsas,,Joshua Topolsky,,Tyler Bleszinski,,1,0,
